SIZE_HA,IGN_DATE,LATITUDE,LONGITUDE,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure
0,20100905.15,49.4787,-121.2493,48.6,62.7,56.1,50.2,81.69,,9.7,24.3,239.67,47.1,0.1,8.7,70.5,1019.2
0,20040805.21,49.0342,-123.9069,57.6,65.9,62.3,56.7,82.28,,17.5,,184.48,,0.1,,0,1014.4
0,20150503.15,48.6437,-123.7357,47.2,59.3,53.3,37,54.47,,8.2,,220.63,46.3,0,629.5,0,1012.5
0,20110910.17,49.0849,-121.683,54.4,82.3,67.5,57.1,72.99,81.9,4.6,,201.46,,0.03,8.8,0.2,1013.5
0,20090607.18,49.5133,-121.7676,60,71.6,64.6,52.4,65.54,,13.3,28.6,224.67,,0,8.7,29.3,1011.5
0,20100523.13,49.0834,-121.7697,45.2,57,51.5,45,79.49,,7.2,20.8,210.58,,0.07,9.2,19.6,1013.4
0,20070720.05,48.65,-123.62,54.1,62.1,58.1,56.1,93.41,,5.9,,,,0.11,9.2,23.8,1010
0,20100726.06,49.2854,-124.5902,57.9,76.9,66.9,52.6,61.53,,12.4,25.5,263.13,,0,19.3,1.9,1009.9
0,20090621.16,49.9894,-121.7625,50.3,55.7,52.9,49.7,89.07,,15.2,29.9,177.33,,0.3,8.2,44.9,1013.3
0,20100829.17,49.0753,-121.7704,48.9,67.1,58.1,50.3,76.83,,8.8,27.7,187.92,,0.02,9.1,19.8,1011
0,20110917.13,49.1065,-121.6392,51.6,62.3,55.5,52.5,90.48,,4.9,25.3,195.21,,0.38,8.4,29,1016.7
0,20100905.12,49.308,-123.3258,53.1,60.5,57.4,47.6,70.26,,15,,110.13,,0.26,,0,1019.3
0,20110728.17,49.0832,-121.9788,60.1,76.2,66.5,56.1,70.96,,12.1,31.1,214.21,,0.03,9.3,16.9,1019.9
0,20040730.2,49.3075,-122.762,56.4,77.3,67.4,59.7,78.25,,6.3,,192.29,,0,9.9,0.2,1013.6
0,20050809.12,49.0832,-122.0027,55.6,78.3,66.5,58.3,76.98,,9.8,30,200.5,,0,9,6.4,1016.1
0,20100826.15,49.4969,-124.9433,52.2,67.9,59.4,48.7,69.5,,11.4,28.9,157.71,,0.26,19.7,33.2,1015.2
0,20140519.16,49.8159,-124.3029,48,63.8,56.9,50.5,80.09,,8,,194.54,,0.09,632.1,0,1017.1
0,20000522.12,49.0267,-117.3786,42.3,73,59.3,40.3,52.9,,12.9,,238.88,40.1,0,15.6,33.6,1012.4
0,20120903.15,50.2163,-126.9523,52.5,60.7,56.6,50.6,80.33,,23.8,31.2,297.13,,0,17.4,27.6,1025.7
0,20170707.15,54.3051,-121.8601,42.8,87.7,63.8,46.1,63.34,84.1,22.3,39.7,194.21,42.6,0.76,98.6,2.6,1017.8
0,20090731.23,49.1637,-122.6245,59.2,82.3,72.3,59.8,67.13,82.8,5.7,,188.88,,0,9.8,0.3,1014.2
