FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
N20027,,1986,Lightning,1986-N20027,81.7,mylars,,20070517130643,19860803,digitised,JA70003000,,1704376,817140.0444,4021.4997000000003,,
N30009,,1986,Person,1986-N30009,650.4,LFDB,,20070517130643,19860818,digitised,JA70003000,,1704377,6504549.1385,11526.2714,,
N50009,,1986,Lightning,1986-N50009,53.5,mylars,,20070517130643,19860601,digitised,JA70003000,,1704378,535412.8803,2997.8663,,
N60073,,1986,Person,1986-N60073,13.4,Buffered_Point,,20070517130645,19860821,buffered_point,JA70003000,,1704379,134405.4576,1346.6899,,
N60080,,1986,Person,1986-N60080,503.6,LFDB,,20070517130643,19860907,digitised,JA70003000,,1704380,5036118.072,10853.2785,,
C30006,,1988,Person,1988-C30006,7.1000000000000005,inventory,,20070517130642,19880614,digitised,JA70003000,,1704599,71026.8056,2834.0467000000003,,
C30006,,1988,Person,1988-C30006,45.7,inventory,,20070517130642,19880614,digitised,JA70003000,,1704600,457116.3536,5042.3105000000005,,
C30027,,1988,Person,1988-C30027,60.300000000000004,inventory,,20070517130642,19881004,digitised,JA70003000,,1704601,603205.8158,3728.1132000000002,,
C30029,,1988,Person,1988-C30029,16.6,inventory,,20070517130642,19881004,digitised,JA70003000,,1704602,166466.0521,2804.3436,,
C40004,,1988,Person,1988-C40004,12.4,Buffered_Point,,20070517130645,19880414,buffered_point,JA70003000,,1704603,124740.4858,1305.7728,,
R20008,,1988,Person,1988-R20008,11.4,Buffered_Point,,20070517130645,19880912,buffered_point,JA70003000,,1704666,114934.7961,1273.3410000000001,,
R30002,,1988,Person,1988-R30002,14.4,Buffered_Point,,20070517130645,19880719,buffered_point,JA70003000,,1704667,144233.5292,1425.326,,
R40002,,1988,Person,1988-R40002,22.8,Buffered_Point,,20070517130645,19880416,buffered_point,JA70003000,,1704668,228225.766,1796.8888000000002,,
R40005,,1988,Person,1988-R40005,98.9,Buffered_Point,,20070517130645,19880509,buffered_point,JA70003000,,1704669,989567.7414,3744.0572,,
R40010,,1988,Person,1988-R40010,11.4,inventory,,20070517130642,19880828,digitised,JA70003000,,1704670,114149.8713,2352.7341,,
R40011,,1988,Person,1988-R40011,14.5,inventory,,20070517130642,19880907,digitised,JA70003000,,1704671,145034.4529,3110.4371,,
V10021,,1988,Person,1988-V10021,18.5,inventory,,20070517130642,19880829,digitised,JA70003000,,1704672,185145.1509,2634.6949,,
V30045,,1985,Lightning,1985-V30045,465.40000000000003,LFDB,,20070517130643,19850730,digitised,JA70003000,,1704269,4654224.9551,10469.4778,,
V30052,,1985,Lightning,1985-V30052,30.6,mylars,,20070517130643,19850730,digitised,JA70003000,,1704270,306077.4074,2325.55,,
V40018,,1985,Person,1985-V40018,19.3,Buffered_Point,,20070517130645,19851001,buffered_point,JA70003000,,1704271,193381.0041,1616.0537000000002,,
V50015,,1985,Person,1985-V50015,696.5,LFDB,,20070517130643,19850814,digitised,JA70003000,,1704272,6965615.0965,14855.4907,,
V60047,,1985,Person,1985-V60047,166,mylars,,20070517130643,19850927,digitised,JA70003000,,1704273,1660260.0989,7567.434300000001,,
V60049,,1985,Person,1985-V60049,13.8,Buffered_Point,,20070517130645,19850927,buffered_point,JA70003000,,1704274,138623.5219,1362.5349,,
N70020,,1986,Person,1986-N70020,883.7,LFDB,,20070517130643,19860814,digitised,JA70003000,,1704381,8837721.6759,17754.2947,,
N70023,,1986,Lightning,1986-N70023,27.6,mylars,,20070517130643,19860810,digitised,JA70003000,,1704382,276551.3671,2076.928,,
R10020,,1986,Person,1986-R10020,24.7,inventory,,20070517130642,19860921,digitised,JA70003000,,1704383,247851.2023,2145.5819,,
R20028,,1986,Person,1986-R20028,50.800000000000004,mylars,,20070517130643,19860820,digitised,JA70003000,,1704384,508887.9812,2791.4406000000004,,
R20032,,1986,Person,1986-R20032,133.8,mylars,,20070517130643,19860905,digitised,JA70003000,,1704385,1338897.119,6095.520100000001,,
R30005,,1986,Person,1986-R30005,65.3,mylars,,20070517130643,19860510,digitised,JA70003000,,1704386,653748.4889,3253.6307,,
R40005,,1986,Person,1986-R40005,85.2,mylars,,20070517130642,19860505,digitised,JA70003000,,1704387,852508.1901,3653.1759,,
R40025,,1986,Person,1986-R40025,6.3,mylars,,20070517130643,19860828,digitised,JA70003000,,1704388,63562.7698,1045.756,,
R50064,,1986,Person,1986-R50064,70.3,Buffered_Point,,20070517130645,19860820,buffered_point,JA70003000,,1704389,703730.3857,3173.8876,,
C40043,,1988,Person,1988-C40043,163.9,Buffered_Point,,20070517130645,19880802,buffered_point,JA70003000,,1704604,1639629.4238,4734.4727,,
C40066,,1988,Person,1988-C40066,28.1,Buffered_Point,,20070517130645,19881010,buffered_point,JA70003000,,1704605,281816.1838,1961.1786000000002,,
C50056,,1988,Person,1988-C50056,248.6,inventory,,20070517130653,19880615,digitised,JA70003000,,1704606,2486674.4953,14873.502,,
C50074,,1988,Person,1988-C50074,175.20000000000002,inventory,,20070517130653,19880803,digitised,JA70003000,,1704607,1752449.7681,10547.9763,,
C50097,,1988,Person,1988-C50097,110,inventory,,20070517130642,19880904,digitised,JA70003000,,1704608,1100900.5566,7330.2349,,
N30034,,1987,Person,1987-N30034,62.9,Buffered_Point,,20070517130645,19871001,buffered_point,JA70003000,,1704545,629559.0999,2939.2159,,
N50003,,1987,Lightning,1987-N50003,468.8,mylars,,20070517130642,19870508,digitised,JA70003000,,1704546,4688386.0306,10780.845,,
N50093,,1987,Person,1987-N50093,10,inventory,,20070517130642,19871005,digitised,JA70003000,,1704547,100133.2202,1803.9461000000001,,
N50096,,1987,Person,1987-N50096,47.4,Buffered_Point,,20070517130645,19870929,buffered_point,JA70003000,,1704548,474411.8329,2539.8741,,
N70009,,1987,Person,1987-N70009,19.5,inventory,,20070517130642,19870613,digitised,JA70003000,,1704549,195294.189,2544.9533,,
N70009,,1987,Person,1987-N70009,39.9,mylars,,20070517130642,19870613,digitised,JA70003000,,1704550,399214.5542,2629.7181,,
N70010,,1987,Lightning,1987-N70010,33.1,Buffered_Point,,20070517130645,19870605,buffered_point,JA70003000,,1704551,331329.7306,2109.4578,,
