,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
V61351,20101108.1734,Person,Nuisance Fire,48.6364,-123.6144,0.0
V51410,20090806.2217,Person,Nuisance Fire,49.3915,-123.5154,0.0
V80013,20140501.0931,Person,Nuisance Fire,49.6713,-125.0835,0.0
V50123,20110604.221,Person,Nuisance Fire,49.4999,-123.8018,0.0
VA0938,20100812.2153,Person,Nuisance Fire,52.4347,-126.3848,0.0
V71429,20090808.16,Person,Nuisance Fire,49.28,-124.58,0.0
K60731,20070715.1902,Person,Nuisance Fire,49.7267,-120.4415,0.0
N40038,20020513.1523,Person,Nuisance Fire,51.2509,-116.9212,0.0
V10469,20070916.1656,Person,Nuisance Fire,49.1184,-122.1835,0.0
V60604,20110814.0727,Person,Nuisance Fire,48.4125,-124.0109,0.0
V62054,20170904.1141,Person,Nuisance Fire,48.8367,-123.8288,0.0
V30358,20070816.1814,Lightning,Nuisance Fire,50.2498,-122.1406,0.0
N40489,20090731.16,Person,Nuisance Fire,51.26,-116.98,0.0
V30251,20180519.1624,Person,Nuisance Fire,49.4907,-123.0836,0.0
V80726,20090715.1421,Person,Duplicate,49.9656,-126.0625,0.0
G12262,20171011.1451,Unknown,Smoke Chase,54.8566,-122.8893,0.0
V70653,20080909.0922,Person,Nuisance Fire,49.15940000000001,-124.6968,0.0
G80608,20170705.1528,Unknown,Smoke Chase,56.7665,-121.1919,0.0
V10445,20051001.1239,Person,Nuisance Fire,49.33150000000001,-122.7167,0.0
V10795,20110828.1803,Person,Nuisance Fire,49.4417,-121.851,0.0
V50129,20100527.1808,Person,Nuisance Fire,49.4256,-123.4826,0.0
V11211,20100905.1358,Person,Nuisance Fire,49.3111,-122.318,0.0
N50862,20080904.1709,Person,Nuisance Fire,49.25830000000001,-117.1833,0.0
C21046,20170707.1525,Lightning,Fire,52.28590000000001,-122.0646,0.0
K51426,20070903.111,Person,Nuisance Fire,49.2449,-119.6276,0.0
C20754,20170707.1503,Lightning,Fire,52.0264,-122.7763,0.0
V10571,20090704.1727,Person,Nuisance Fire,49.5356,-121.8727,0.0
V10225,20030722.0645,Person,Nuisance Fire,49.1392,-120.885,0.0
V90611,20180620.1606,Lightning,Duplicate,50.0386,-126.4067,0.0
V10759,20081004.1555,Person,Nuisance Fire,49.328,-121.6073,0.0
