FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
G60610,20170627.1415,Lightning,Fire,55.52950000000001,-123.6453,11.0
K20417,20190530.143703,Lightning,Fire,51.6909,-120.4977,15.3
C20082,20020501.143,Person,Fire,52.544,-122.2015,2.0
G50222,20050608.2,Lightning,Fire,56.3543,-127.338,25.0
C20147,20150630.143,Lightning,Fire,51.9035,-122.6792,655.0
VA1245,20090731.1915,Lightning,Fire,52.0099,-126.4375,574.0
V82307,20171030.09,Person,Fire,49.8605,-125.9809,20.0
G90139,20100611.1552,Lightning,Fire,58.4968,-121.5977,3.7
C10150,20060702.1624,Lightning,Fire,52.9367,-125.52,1160.0
G90209,20050529.2344,Lightning,Fire,59.2788,-120.3618,33.0
K70430,20140803.19,Lightning,Fire,50.3858,-121.8111,15.0
G40007,20000411.143,Person,Fire,54.0097,-124.869,11.0
V10670,20040816.1201,Lightning,Fire,49.2937,-121.2282,4.0
G90263,20150624.1353,Lightning,Fire,59.8536,-121.3409,13498.6
K50016,20150418.111,Person,Fire,49.15340000000001,-120.0201,13.2
K52803,20180820.1445,Person,Fire,49.6809,-119.8279,5.5
K20272,20030730.125,Person,Fire,51.0551,-120.21700000000001,26345.0
N52792,20180811.1101,Lightning,Fire,50.3951,-118.1811,677.0
G40010,20020430.15,Person,Fire,53.83,-124.6383,3.0
G10251,20100714.143,Person,Fire,54.08320000000001,-123.4328,22.3
K70049,20040501.19,Person,Fire,50.33640000000001,-121.396,2.0
R20274,20131018.09,Person,Fire,53.75380000000001,-126.8724,7.2
C10075,20120714.152,Lightning,Fire,52.7458,-124.377,13.0
N52794,20180728.1932,Lightning,Fire,49.24630000000001,-117.7603,20.0
G10053,20130427.08,Person,Fire,53.8595,-123.2461,3.8
R11498,20180727.103,Person,Fire,54.20200000000001,-125.2064,92412.0
K40660,20120821.23,Lightning,Fire,50.08470000000001,-119.2621,9.0
G40338,20100727.1925,Lightning,Fire,53.0775,-125.2116,2.1
G50278,20090730.1424,Lightning,Fire,56.3598,-127.3039,1000.0
K30333,20030806.1836,Lightning,Fire,51.04660000000001,-118.7337,1602.0
N20433,20010814.115,Person,Fire,50.65600000000001,-116.1074,2.0
N70578,20150812.1441,Lightning,Fire,49.0491,-116.906,2.0
C40193,20120821.1231,Person,Fire,51.22,-122.0875,427.0
G40115,20060505.13,Person,Fire,54.00550000000001,-123.8917,5.0
G90019,20120501.1105,Person,Fire,59.59860000000001,-126.6492,4.0
R90066,20160711.1604,Lightning,Fire,59.62000000000001,-129.0278,57.0
K21526,20040318.1715,Person,Fire,50.67160000000001,-120.1713,4.7
K70625,20030815.1925,Person,Fire,50.27500000000001,-121.6195,5.9
K50739,20090718.1435,Person,Fire,49.8273,-119.65899999999999,400.0
G30268,20140717.0508,Lightning,Fire,53.41390000000001,-120.9018,20.0
G90559,20180614.2009,Lightning,Fire,59.2879,-125.3267,8.0
G80039,20060423.13,Person,Fire,56.2362,-120.7652,5.0
V50004,20010409.13,Person,Fire,49.9327,-124.477,7.0
K70786,20120324.17,Person,Fire,50.3244,-121.6501,6.1000000000000005
G80005,20060406.18,Person,Fire,56.5578,-120.7027,3.0
V80743,20041013.1,Person,Fire,49.9083,-126.2502,4.4
G10022,20030430.18,Person,Fire,54.00660000000001,-122.6149,3.8
G90143,20050529.1821,Lightning,Fire,59.088,-121.9083,149.70000000000005
G80312,20120726.2054,Lightning,Fire,56.221500000000006,-122.0977,3.3000000000000003
